Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
This Ain't No Mouse Music,34754,6,"$15,982",4,2014-09-19,Argot Pictures,1209
Orchestra of Exiles,34577,5,"$6,719",1,2012-10-26,First Run,1211
That Summer,34556,5,"$5,977",1,2018-05-18,IFC Films,1212
Off the Rails,34249,3,"$8,795",1,2016-11-18,The Film Collaborative,1214
Beautiful Darling,34096,3,"$12,406",1,2011-04-22,Corinth Films,1215
Hit So Hard,34025,4,"$6,500",1,2012-04-13,Variance Films,1216
The Autobiography of Nicolae Ceausescu,34023,3,"$4,644",1,2011-09-09,The Film Desk,1217
Bert Stern: Original Madman,34005,6,"$4,691",4,2013-04-05,First Run,1218
Your Mommy Kills Animals!,34000,1,"$34,000",1,2007-07-20,Halo8 Releasing,1219
Moonlight Sonata: Deafness in Three Movements,33823,12,"$5,424",1,2019-09-13,Abramorama,1220
"My Country, My Country",33620,4,"$3,546",1,2006-08-04,Zeitgeist Films,1221
The Turandot Project,33504,3,"$7,877",2,2001-08-10,Zeitgeist Films,1222
Making the Boys,33443,3,"$7,513",1,2011-03-11,First Run,1223
The Winding Stream,33420,3,"$3,660",3,2015-12-16,Argot Pictures,1224
Sisters in Law,33312,2,"$4,895",1,2006-04-12,Women Make Movies,1225
Running from Crazy,33300,5,"$6,822",1,2013-11-01,Vitagraph Films,1226
American Teacher,33144,2,"$6,036",2,2011-09-30,First Run,1228
Dislecksia: The Movie,33066,1,"$2,213",1,2013-10-04,Area 23a,1229
Ahead of Time: The Extraordinary Journey of Ruth Gruber,33024,3,"$12,790",1,2010-09-10,Vitagraph Films,1230
Of Time and the City,32677,2,"$5,595",1,2009-01-21,Strand Releasing,1232
Spettacolo,32494,5,"$4,403",2,2017-09-08,Grasshopper Film,1233
Beetle Queen Conquers Tokyo,32308,3,"$6,498",1,2010-05-12,Argot Pictures,1236
Ayurveda: Art of Being,32267,2,"$1,938",1,2002-07-17,Kino International,1237
Living in Emergency,32208,7,"$21,905",7,2010-06-04,Truly Indie,1238
Sacco and Vanzetti,32203,3,"$2,778",1,2007-01-26,First Run,1239
Brimstone & Glory,32059,8,"$2,125",1,2017-10-27,Oscilloscope,1240
Desolation Center,32016,10,"$4,938",3,2019-09-13,Matson Films,1241
Moynihan,31970,2,"$4,416",1,2018-10-03,First Run,1242
District of Corruption,31954,3,"$25,086",3,2012-10-26,Rocky Mountain Pictures,1243
Reel Paradise,31918,6,"$3,100",1,2005-08-17,Wellspring Media,1244
180° South,31745,4,"$10,269",4,2010-05-21,Magnolia Pictures,1245
At Berkeley,31736,6,"$5,069",2,2013-11-08,Zipporah Films,1246
Gift,31588,10,"$4,255",2,2019-10-11,Matson Films,1247
The Cat Rescuers,31540,3,"$4,252",3,2019-07-05,Balcony Releasing,1248
Forever,31502,1,"$5,202",1,2007-09-12,Icarus Films,1249
Whores' Glory,31420,3,"$5,358",3,2012-04-27,Kino Lorber,1250
Sidemen: Long Road to Glory,31399,6,"$6,120",1,2017-08-18,Abramorama,1251
Memory: The Origins of Alien,31378,19,"$14,704",19,2019-10-04,Screen Media Films,1252
Hats Off,31272,5,"$6,570",1,2008-03-28,Abramorama,1253
"Hey, Boo: Harper Lee and 'To Kill a Mockingbird'",31135,5,"$5,457",2,2011-05-13,First Run,1255
Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),30975,3,"$6,078",1,2010-09-10,Lorber Films,1256
Patti Smith: Dream of Life,30918,1,"$9,993",1,2008-08-06,Palm Pictures,1257
Meet the Fokkens,30810,1,"$7,628",1,2012-08-08,Kino Lorber,1259
Fighting for Life,30606,2,"$3,423",1,2008-03-07,Truly Indie,1261
Los Reyes,30418,4,"$5,661",2,2019-08-16,Grasshopper Film,1262
Dealt,30414,10,"$4,293",1,2017-10-20,IFC Films,1263
These Birds Walk,30408,2,"$5,454",1,2013-11-01,Oscilloscope,1264
"3 1/2 Minutes, 10 Bullets",30407,8,"$2,238",1,2015-06-19,Participant,1265
The Take,30380,1,"$8,625",1,2004-09-22,Icarus Films,1266
Walking on Dead Fish,30328,4,"$10,524",1,2008-09-19,Variance Films,1267
No Greater Love,30247,22,"$21,520",22,2017-11-10,Atlas Distribution Company,1268
WMD: Weapons of Mass Deception,30210,4,"$4,216",3,2004-12-03,Cinema Libre Studio,1269
American Swing,30156,2,"$10,174",1,2009-03-27,Magnolia Pictures,1271
The Seventh Fire,30112,3,"$8,277",2,2016-07-22,Film Movement,1272
The Windmill Movie,30050,4,"$3,832",1,2009-06-17,The Film Desk,1273
Manakamana,30029,4,"$3,635",1,2014-04-18,The Cinema Guild,1274
I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,29976,9,"$5,075",4,2007-05-23,Luminous Velocity Releasing,1275
Saint Misbehavin': The Wavy Gravy Movie,29893,3,"$10,976",3,2010-12-03,Argot Pictures,1276
Long Shot: The Kevin Laue Story,29863,3,"$7,006",1,2013-10-25,Cinipix,1277
In Pursuit of Silence,29834,2,"$5,141",1,2017-06-23,The Cinema Guild,1278
Henri Cartier-Bresson: The Impassioned Eye,29710,2,"$7,235",2,2006-01-13,Palm Pictures,1281
The Best Democracy Money Can Buy,29500,4,"$9,511",1,2016-09-23,Cinema Libre Studio,1282
Troublemakers: The Story of Land Art,29462,5,"$5,424",4,2016-01-08,First Run,1283
Romántico,29460,5,"$2,808",1,2006-11-01,Kino International,1284
Empathy,29345,1,"$11,975",1,2004-01-21,Icarus Films,1285
Cousin Jules,29337,3,"$5,135",1,2013-11-29,The Cinema Guild,1286
Charm City,29335,3,"$10,511",1,2018-10-12,PBS Distribution,1287
The Topp Twins: Untouchable Girls,29316,5,"$2,506",1,2011-05-13,Argot Pictures,1288
You've Been Trumped,29273,5,"$4,497",1,2012-08-03,International Film Circuit,1289
Time to Choose,29233,9,"$12,233",6,2016-06-03,Abramorama,1290
Naked Fame,29220,2,"$2,837",1,2005-02-18,Regent Releasing,1291
Fire in the Blood,28994,4,"$4,856",1,2013-09-06,International Film Circuit,1292
Two in the Wave,28808,1,"$5,676",1,2010-05-19,Lorber Films,1293
Catwalk,28672,3,"$9,560",1,1996-02-16,Arrow Releasing,1294
Hitler's Children,28663,3,"$2,939",1,2012-11-16,Film Movement,1295
Garbo: The Spy,28563,2,"$5,593",1,2011-11-18,First Run,1296
The Seasons In Quincy: Four Portraits of John Berger,28456,2,"$5,304",1,2016-08-31,Icarus Films,1299
Southpaw,28365,19,"$21,381",19,2000-04-07,Shooting Gallery,1300
On Her Shoulders,28288,7,"$4,374",1,2018-10-19,Oscilloscope,1301
The Nightmare,28281,16,"$13,363",16,2015-06-05,Gravitas Ventures,1302
39 Pounds of Love,28195,8,"$4,217",1,2005-11-23,Balcony Releasing,1303
The Ambassador,28102,8,"$13,046",4,2012-08-29,Drafthouse Films,1304
30 Years of Garbage: The Garbage Pail Kids Story,27739,2,"$5,030",2,2017-08-11,Indican Pictures,1307
Broadway Idiot,27595,6,"$5,514",1,2013-10-11,FilmBuff,1308
Beyond Vanilla,27396,1,"$5,761",1,2003-05-16,Strand Releasing,1309
Who Gets to Call It Art?,27344,1,"$7,520",1,2006-02-01,Palm Pictures,1310
Unlocking the Cage,27284,3,"$3,708",1,2016-05-25,First Run,1311
Jane's Journey,27253,3,"$6,193",1,2011-09-16,First Run,1312
Bronx Gothic,27151,4,"$4,696",1,2017-07-14,Grasshopper Film,1313
"Leaving Home, Coming Home: A Portrait of Robert Frank",27073,3,"$4,248",1,2019-05-29,Greenwich Entertainment,1314
Guest of Cindy Sherman,27052,1,"$7,685",1,2009-03-27,Trela Media,1315
Frontrunners,26976,6,"$6,888",1,2008-10-15,Oscilloscope,1316
The Garden,26931,4,"$4,114",1,2009-04-24,Oscilloscope,1318
Abduction: The Megumi Yokota Story,26859,1,"$5,034",1,2006-11-24,Sagewood Cinema Ventures,1319
Trudell,26756,5,"$1,592",1,2006-02-03,Balcony Releasing,1320
Earth Days,26748,5,"$2,408",1,2009-08-14,Zeitgeist Films,1321
Tap World,26747,3,"$8,714",3,2015-07-10,Vitagraph Films,1322
"Pink Ribbons, Inc.",26608,4,"$2,721",3,2012-06-01,First Run,1324
Wrestle,26597,5,"$6,027",1,2019-02-22,Oscilloscope,1325
Milford Graves Full Mantis,26566,4,"$7,407",1,2018-07-13,The Cinema Guild,1326
October Country,26185,4,"$7,026",1,2010-02-12,International Film Circuit,1327
"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",26073,3,"$4,046",1,2005-03-25,Koch Lorber Films,1329
Nursery University,26042,4,"$11,307",1,2009-04-24,Variance Films,1330
Elena,25788,2,"$10,341",1,2014-05-30,Variance Films,1332
Through the Fire,25752,8,"$14,769",8,2006-02-10,Cinema Libre Studio,1333
Kate Plays Christine,25564,3,"$6,175",1,2016-08-26,Grasshopper Film,1335
Henri-Georges Clouzot's Inferno,25489,3,"$3,981",1,2010-07-16,Flicker Alley,1336
Lake of Fire,25317,9,"$2,559",1,2007-10-03,THINKFilm,1337
Disturbing the Peace,25287,2,"$10,907",2,2016-11-11,Abramorama,1338
Gotta Dance,25108,4,"$8,576",1,2009-07-31,Mitropoulos Films,1340
In the Intense Now,24955,1,"$5,565",1,2018-01-31,Icarus Films,1341
Wrestling with Angels: Playwright Tony Kushner,24729,4,"$5,944",1,2006-10-04,Balcony Releasing,1342
The Departure,24662,7,"$4,850",1,2017-10-13,Matson Films,1343
Eat This New York,24640,2,"$5,847",2,2004-01-30,Organic Pictures,1344
Born to Fly: Elizabeth Streb vs. Gravity,24630,3,"$8,406",1,2014-09-10,The Film Collaborative,1345
Naples '44,24620,2,"$6,636",1,2017-11-29,First Run,1346
Otter 501,24449,4,"$5,444",3,2012-05-11,Paladin,1347
Radio Unnameable,24090,2,"$5,833",1,2012-09-19,Kino Lorber,1348
American Storytellers,24082,1,"$2,974",1,2003-11-07,Indican Pictures,1349
Chasing Einstein,24057,4,"$9,708",4,2019-09-13,Atlas Distribution Company,1350
Harry Dean Stanton: Partly Fiction,23959,4,"$6,330",2,2013-09-13,Adopt Films,1351
Dear Mr. Watterson,23899,9,"$6,199",5,2013-11-15,Submarine Deluxe,1353
Behind the Burly Q,23889,2,"$3,958",1,2010-04-23,First Run,1354
Happy Valley,23868,4,"$9,047",4,2014-11-21,Music Box Films,1355
Emmanuel's Gift,23728,6,"$14,642",6,2005-10-21,First Look International,1356
Videocracy,23720,1,"$8,324",1,2010-02-12,Kino International,1357
Greenwich Village: Music That Defined a Generation,23701,2,"$5,530",1,2013-01-18,Kino Lorber,1358
Letter from Masanjia,23481,2,"$8,295",2,2018-09-14,Ammo Content,1362
Can't Stand Losing You: Surviving the Police,23262,5,"$5,656",2,2015-03-20,Cinema Libre Studio,1363
For Ahkeem,23136,4,"$10,500",3,2017-10-13,Vitagraph Films,1364
Finding Oscar,23116,16,"$2,365",1,2017-04-14,FilmRise,1365
The Iran Job,23115,2,"$4,295",1,2012-09-28,Film Movement,1366
History of Jazz: Oxygen for the Ears,23048,5,"$7,566",3,2014-10-24,Indican Pictures,1367
Video Games: The Movie,23043,25,"$12,759",25,2014-07-18,Variance Films,1368
Islam: What the West Needs to Know,22938,3,"$12,184",3,2006-07-07,Quixotic Media,1369
My Scientology Movie,22936,6,"$11,180",2,2017-03-10,Magnolia Pictures,1370
Hellbound?,22887,5,"$3,938",4,2012-09-21,Area 23a,1371
Carol Channing: Larger Than Life,22740,3,"$5,000",2,2012-01-20,Entertainment One,1372
The Revisionaries,22664,5,"$2,608",1,2012-10-05,Kino Lorber,1373
The Other City,22539,2,"$10,396",2,2010-09-17,Cabin Films,1375
Incendiary,22457,3,"$7,308",1,2011-09-23,Truly Indie,1376
Be Here Now,22424,11,"$13,577",11,2016-04-08,Tugg,1377
Fuck,22359,5,"$5,299",2,2006-11-10,THINKFilm,1378
The Atomic Cafe,22293,5,"$4,098",1,2018-08-01,Kino Lorber,1379
Generation Startup,22271,1,"$5,756",1,2016-09-23,Long Shot Factory,1380
And Everything Is Going Fine,22080,2,"$7,035",1,2010-12-10,IFC Films,1382
La strada di Levi,22026,1,"$3,151",1,2007-08-17,The Cinema Guild,1383
Giuliani Time,21967,2,"$8,661",1,2006-05-12,Cinema Libre Studio,1384
Bending the Arc,21907,3,"$3,160",2,2017-10-06,Abramorama,1385
The Matador,21816,2,"$6,695",1,2008-10-31,City Lights Pictures,1386
Évocateur: The Morton Downey Jr. Movie,21652,5,"$3,936",5,2013-06-07,Magnolia Pictures,1388
The Arbor,21620,3,"$2,638",1,2011-04-27,Strand Releasing,1389
Half the Picture,21589,1,"$6,581",1,2018-06-08,Gravitas Ventures,1390
Dr. Bronner's Magic Soapbox,21579,6,"$1,570",1,2007-06-29,Balcony Releasing,1391
Waiting for Lightning,21577,11,"$19,537",11,2012-12-07,The Samuel Goldwyn Company,1392
So Much So Fast,21525,3,"$1,015",1,2006-10-11,Balcony Releasing,1393
Imaginary Witness: Hollywood and the Holocaust,21507,3,$630,1,2007-12-07,Shadow Distribution,1394
Thank You for Your Service,21497,4,$344,1,2016-10-07,GathrFilms,1395
Trophy,21439,21,"$3,522",1,2017-09-08,The Orchard,1396
Resurrect Dead: The Mystery of the Toynbee Tiles,21242,1,"$3,054",1,2011-09-02,Argot Pictures,1398
Girl Model,21154,5,"$4,898",1,2012-09-05,First Run,1399
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",21152,6,"$4,694",2,2009-07-31,Magnolia Pictures,1400
Almost Holy,21142,10,"$4,195",5,2016-05-20,The Orchard,1401
Noma: My Perfect Storm,21130,5,"$2,987",4,2015-12-18,Magnolia Pictures,1403
The Case of the Grinning Cat,20944,1,"$1,410",1,2006-07-21,Icarus Films,1404
Cameraman: The Life and Work of Jack Cardiff,20840,3,"$1,998",1,2011-05-13,Strand Releasing,1405
Small Wonders,20819,7,"$2,880",1,1996-10-04,Miramax,1406
Did You Wonder Who Fired the Gun?,20765,3,"$5,725",3,2018-02-28,Grasshopper Film,1407
Voices in Wartime,20702,5,"$1,966",2,2005-04-08,Cinema Libre Studio,1409
The Great Flood,20694,1,"$3,596",1,2014-01-08,Icarus Films,1410
The Last Dispatch,20684,1,"$16,848",1,2005-07-29,Fabrication Films,1411
Meeting Resistance,20616,2,"$7,712",2,2007-10-19,International Film Circuit,1412
Our Nixon,20584,5,"$6,090",3,2013-08-30,Cinedigm Entertainment Group,1413
Walt & El Grupo,20521,4,"$6,059",3,2009-09-09,Walt Disney Studios Motion Pictures,1414
The Devil and Father Amorth,20449,8,"$7,814",8,2018-04-20,The Orchard,1415
The Highest Pass,20386,2,"$10,125",2,2012-04-27,Cinema Libre Studio,1418
Words of My Perfect Teacher,20318,3,"$2,300",3,2006-12-22,International Film Circuit,1419
Double Take,20218,1,"$4,650",1,2010-06-02,Kino International,1420
If I Die Tonight,20214,2,"$9,646",2,2009-07-31,Indican Pictures,1421
Zizek!,20177,1,"$7,062",1,2005-11-18,Zeitgeist Films,1422
Shoah,20175,1,"$2,874",1,2010-12-10,IFC Films,1423
A Wink and a Smile,20169,4,"$2,346",1,2009-05-01,First Run,1424
Flying: Confessions of a Free Woman,20157,1,"$4,347",1,2007-07-04,Artistic License,1425
How to Grow a Band,20135,2,"$5,705",1,2012-04-13,International Film Circuit,1426
State of Fear,20055,1,"$16,075",1,2006-01-11,Skylight Pictures,1429
General Magic,20046,5,"$2,267",5,2019-05-10,Gravitas Ventures,1430
The Gospel of Eureka,20039,3,"$3,517",1,2019-02-08,Kino Lorber,1431
Glass,20018,1,"$5,546",1,2008-04-18,Koch Lorber Films,1432
The Ground Truth,20013,8,"$12,207",8,2006-09-15,Focus Features,1433
The Look,19988,2,"$5,905",2,2011-11-04,Kino Lorber,1434
Armstrong,19740,45,"$3,071",12,2019-07-12,Gravitas Ventures,1437
Trying to Get Good: The Jazz Odyssey of Jack Sheldon,19712,1,"$4,792",1,2008-05-30,Reel Source,1438
Misery Loves Comedy,19634,8,"$5,300",1,2015-04-24,Tribeca Film,1439
Tchoupitoulas,19375,6,"$2,379",1,2012-12-07,Oscilloscope,1441
Actress,19365,4,"$4,880",1,2014-11-07,The Cinema Guild,1442
Peter Brook: The Tightrope,19365,2,"$6,768",1,2014-01-31,First Run,1442
Watchers of the Sky,19339,4,"$7,473",4,2014-10-17,Music Box Films,1444
Gabo: The Creation of Gabriel Garcia Marquez,19337,4,"$1,432",1,2015-10-01,Icarus Films,1445
Melancholian 3 huonetta,19317,2,"$5,025",1,2005-07-29,Icarus Films,1446
Neshoba,19245,2,"$4,645",1,2010-08-13,First Run,1447
Revelation: Dawn of Global Government,19107,2,"$14,975",2,2016-04-15,Rocky Mountain Pictures,1448
Smash & Grab: The Story of the Pink Panthers,18938,3,"$4,794",1,2013-07-31,Doppelganger Releasing,1451
Steal a Pencil for Me,18918,2,"$11,179",2,2007-11-09,Seventh Art Releasing,1452
A League of Ordinary Gentlemen,18807,4,"$4,498",1,2005-05-27,Magnolia Pictures,1453
Scandalous: The True Story of the National Enquirer,18759,13,"$10,837",12,2019-11-15,Magnolia Pictures,1455
Before Stonewall,18724,2,"$4,588",1,2019-06-21,First Run,1456
Saving Marriage,18720,2,"$8,044",2,2008-10-17,Regent Releasing,1457
Blessed Is the Match,18654,3,"$3,316",1,2009-01-28,Balcony Releasing,1458
Crime + Punishment,18644,3,"$8,787",3,2018-08-24,IFC Films,1459
Wish Me Away,18618,4,"$5,026",3,2012-06-01,First Run,1460
Bobbi Jene,18579,3,"$7,035",1,2017-09-22,Oscilloscope,1461
All the Rage,18489,1,"$9,765",1,2017-06-23,The Film Collaborative,1464
Burden,18440,13,"$3,231",2,2017-05-05,Magnolia Pictures,1465
306 Hollywood,18399,4,"$8,150",1,2018-09-28,El Tigre,1466
Dear Zachary: A Letter to a Son About His Father,18334,3,"$2,886",1,2008-10-31,Oscilloscope,1467
Off and Running,18262,1,"$7,978",1,2010-01-29,First Run,1468
Am Limit,18254,2,"$1,483",2,2008-06-13,First Run,1469
Suicide Killers,18239,1,"$10,601",1,2006-08-25,City Lights Pictures,1470
Tosca's Kiss,18236,2,$418,1,2014-06-06,Icarus Films,1471
Who is Dayani Cristal?,18190,2,"$5,712",2,2014-04-25,Kino Lorber,1472
Casting By,18164,2,"$5,649",2,2013-11-01,Submarine Deluxe,1473
Peter and the Farm,18123,8,"$3,844",1,2016-11-04,Magnolia Pictures,1474
Harry Benson: Shoot First,18092,6,"$4,798",3,2016-12-09,Magnolia Pictures,1475
Holy Hell,18051,3,"$9,238",3,2016-05-27,WRA Productions,1476
On Tour with Pina Bausch,18016,2,"$1,756",1,2014-04-04,Icarus Films,1478
Nénette,18009,3,"$1,176",1,2010-12-22,Kino International,1479
Battle for Brooklyn,18000,1,"$11,141",1,2011-06-17,Rumur Releasing,1480
Payback,17979,3,"$2,186",1,2012-04-25,Zeitgeist Films,1482
Mansfield 66/67,17930,12,"$6,451",1,2017-10-27,FilmBuff,1483
Great Directors,17921,4,"$5,440",3,2010-07-02,Paladin,1484
The Last Shaman,17844,4,"$6,799",1,2017-05-12,Abramorama,1485
Escapes,17778,4,"$1,339",1,2017-07-28,Grasshopper Film,1486
Dear Jesse,17744,3,"$1,508",1,1998-06-26,Cowboy Pictures,1487
Sacred,17740,4,"$4,149",1,2017-05-05,Argot Pictures,1488
Sunset Story,17508,3,"$2,966",1,2005-02-25,Vitagraph Films,1489
Streit's: Matzo and the American Dream,17506,3,"$12,065",3,2016-04-20,Menemsha Films,1490
Butterfly Girl,17503,3,"$4,326",2,2015-04-03,Indican Pictures,1491
The Homestretch,17306,1,"$8,373",1,2014-09-12,Kartemquin Films,1492
Ever Again,17304,12,"$10,802",12,2006-12-08,Rocky Mountain Pictures,1493
Landfill Harmonic,17205,5,"$3,526",1,2016-09-09,The Film Collaborative,1494
Food Evolution,17181,3,"$2,851",1,2017-06-23,Abramorama,1495
On the Map,17099,4,$151,1,2016-11-25,Hey Jude Productions,1497
Joseph Pulitzer: Voice of the People,16970,5,"$5,686",1,2019-03-01,First Run,1498
Carbon Nation,16901,2,$402,1,2010-05-07,Clay Way Media,1499
Swim Team,16783,3,"$4,024",1,2017-07-07,Argot Pictures,1500
Cuban Rafters,16783,1,"$5,111",1,2003-07-23,Seventh Art Releasing,1500
Inventing Our Life: The Kibbutz Experiment,16734,3,"$6,193",1,2012-04-27,First Run,1502
This Changes Everything,16692,1,"$9,770",1,2015-10-03,Abramorama,1503
The Freedom to Marry,16611,3,"$6,142",1,2017-03-03,Argot Pictures,1504
Who Took Johnny,16595,2,"$7,666",1,2015-04-24,Rumur Releasing,1505
The Last Mogul,16469,2,"$4,965",1,2005-06-24,THINKFilm,1509
Genesis,16413,1,"$4,891",1,2005-05-27,THINKFilm,1510
Magician: The Astonishing Life and Work of Orson Welles,16400,2,"$7,130",2,2014-12-10,Cohen Media Group,1512
Design Is One: The Vignellis,16386,1,"$4,236",1,2013-10-11,First Run,1514
I Like Killing Flies,16214,2,"$5,487",1,2006-07-28,THINKFilm,1516
All the Queen's Horses,16172,1,"$6,573",1,2017-11-10,Argot Pictures,1517
Matthew Barney: No Restraint,16136,6,"$1,241",1,2006-12-20,IFC Films,1518
Levitated Mass,16086,3,"$4,589",1,2014-09-05,First Run,1519
Out of the Clear Blue Sky,16050,2,"$2,344",1,2013-09-06,Area 23a,1520
Patience,15941,1,"$5,302",1,2012-05-09,The Cinema Guild,1521
This Binary Universe,15875,2,"$1,794",2,2012-05-04,Indican Pictures,1524
A Letter to True,15635,1,"$4,395",1,2004-09-08,Zeitgeist Films,1527
Stuffed,15532,3,"$1,602",1,2019-10-16,Music Box Films,1530
One Bright Shining Moment,15504,2,"$2,876",1,2005-09-16,First Run,1531
The Beautiful Truth,15387,2,"$3,025",1,2008-11-14,Cinema Libre Studio,1532
Dumbstruck,15379,2,$981,1,2011-04-15,Truly Indie,1533
Narcissister Organ Player,15334,4,"$1,983",1,2018-11-07,Film Movement,1534
Full Tilt Boogie,15313,6,"$9,895",6,1998-07-31,Miramax,1535
Only the Young,15312,2,"$1,446",1,2012-12-07,Oscilloscope,1536
Contemporary Color,15305,5,"$1,451",1,2017-03-01,Oscilloscope,1537
American Deep State,15269,3,"$15,269",3,2020-08-14,Strasson Group,1538
SHOT! The Psycho-Spiritual Mantra of Rock,15157,2,"$6,694",2,2017-04-07,Magnolia Pictures,1540
El inmigrante,15100,2,"$1,578",2,2007-07-13,Indican Pictures,1541
Rebels on Pointe,15088,3,"$3,270",2,2017-11-15,Icarus Films,1542
Wrinkles the Clown,14938,21,"$28,248",21,2019-10-04,Magnolia Pictures,1544
Trust Machine: The Story of Blockchain,14905,1,"$7,424",1,2018-10-26,SingularDTV,1545
Argentina,14869,3,"$2,274",1,2016-06-17,First Run,1547
Vince Giordano: There's a Future in the Past,14807,1,"$6,285",1,2017-01-13,First Run,1548
The Farthest,14773,2,"$6,900",2,2017-08-11,Abramorama,1549
Last Men in Aleppo,14637,5,"$1,505",1,2017-05-05,Grasshopper Film,1550
Unraveled,14615,2,"$9,006",2,2012-04-13,GoDigital,1551
Armadillo,14566,1,"$3,958",1,2011-04-15,Lorber Films,1552
Yuri Gagarin Conspiracy: Fallen Idol,14471,2,"$2,546",2,2009-10-02,Indican Pictures,1557
The Uncondemned,14393,2,"$4,353",1,2016-10-21,Abramorama,1560
Desert Bayou,14350,1,"$6,976",1,2007-10-05,Cinema Libre Studio,1561
Never Stand Still,14272,2,"$1,951",1,2012-05-18,First Run,1562
Combat Obscura,14242,11,"$10,112",10,2019-03-15,Oscilloscope,1563
Carmen and Geoffrey,14130,1,"$5,656",1,2009-03-13,First Run,1564
Newtown,14109,3,"$6,796",2,2016-10-07,Abramorama,1565
Head Games,14056,5,"$1,152",2,2012-09-21,Variance Films,1566
Screwball,13967,13,"$8,595",13,2019-03-29,Greenwich Entertainment,1567
Planet of Snail,13957,2,"$2,011",1,2012-07-25,The Cinema Guild,1568
Weed the People,13926,2,"$4,279",1,2018-10-26,Abramorama,1570
Protagonist,13850,3,"$4,495",1,2007-11-30,IFC Films,1571
A Space Program,13739,1,"$10,247",1,2016-03-18,Zeitgeist Films,1572
Who the #$&% Is Jackson Pollock?,13710,2,"$5,526",2,2006-11-15,Picturehouse,1573
The Law in These Parts,13683,1,"$2,814",1,2012-11-16,The Cinema Guild,1575
Red Trees,13666,9,"$10,180",9,2017-09-15,Cohen Media Group,1576
Fifi Howls from Happiness,13614,2,"$2,728",1,2014-08-08,Music Box Films,1577
Shadowman,13498,4,"$4,113",1,2017-12-01,Film Movement,1579
Benda Bilili!,13420,3,"$1,678",1,2011-09-30,National Geographic Entertainment,1580
Rapid Response,13294,10,"$4,497",8,2019-09-06,Atlas Distribution Company,1581
Kicking It,13266,2,"$2,219",1,2008-06-13,Liberation Entertainment,1582
Our Blood Is Wine,13210,5,"$1,540",2,2018-03-09,Music Box Films,1583
Red Obsession,13199,3,"$5,060",2,2013-09-06,Area 23a,1584
"Intent to Destroy: Death, Denial & Depiction",13194,3,"$8,699",3,2017-11-10,Abramorama,1585
Sol LeWitt,13146,2,"$4,051",1,2014-05-07,Icarus Films,1586
The Pleasures of Being Out of Step,13137,2,"$1,846",1,2014-05-16,First Run,1587
Under the Boardwalk: The Monopoly Story,13080,1,"$5,054",1,2011-03-04,Tostie Productions,1588
"How Much Does Your Building Weigh, Mr Foster?",13013,4,"$2,759",1,2012-01-25,First Run,1589
K2: Siren of the Himalayas,12959,2,"$1,421",2,2014-08-22,First Run,1590
I Trust You to Kill Me,12854,1,"$5,888",1,2006-09-08,First Independent Pictures,1592
Children Underground,12798,1,"$3,075",1,2001-09-19,Cinemax,1593
Heal,12668,1,"$12,668",1,2017-10-20,Paladin,1595
American Socialist: The Life and Times of Eugene Victor Debs,12609,3,"$2,823",1,2018-03-02,First Run,1596
Freestyle: The Art of Rhyme,12600,1,"$4,842",1,2004-07-16,Palm Pictures,1597
Of Fathers and Sons,12579,6,$340,1,2018-11-16,Kino Lorber,1598
"The Photographer, His Wife, Her Lover",12546,1,"$2,630",1,2006-07-26,Icarus Films,1599
American Chaos,12368,26,"$7,616",26,2018-09-14,Sony Pictures Classics,1600
America the Beautiful 2: The Thin Commandments,12366,3,"$5,599",3,2011-10-14,Rogers & Cowan/PMK,1601
Rebirth,12358,4,"$2,740",1,2011-08-31,Oscilloscope,1602
Full Battle Rattle,12306,1,"$3,216",1,2008-07-09,Mile End Films,1604
Wa-shoku Dream: Beyond Sushi,12240,1,"$5,582",1,2015-04-10,Under The Milky Way,1606
China Blue,12185,3,"$3,767",2,2007-01-19,Argot Pictures,1607
Elstree 1976,12173,14,"$3,270",14,2016-05-06,FilmRise,1608
In No Great Hurry: 13 Lessons in Life with Saul Leiter,12133,4,"$6,100",1,2014-01-03,mTuckman Media,1611
The Most Unknown,12119,2,"$2,905",1,2018-05-18,Abramorama,1612
Zen for Nothing,12107,4,"$1,268",2,2019-03-29,Zeitgeist Films,1613
Hot Water,12101,5,"$1,512",2,2016-03-11,Indican Pictures,1614
The Kids Grow Up,12095,1,"$4,497",1,2010-10-29,Shadow Distribution,1615
A Murder in the Park,12088,3,"$1,310",1,2015-06-26,IFC Films,1616
When Two Worlds Collide,12080,1,"$2,548",1,2016-08-17,First Run,1617
Sex Positive,12069,1,"$3,408",1,2009-06-12,Regent Releasing,1618
Defamation,12038,4,"$4,725",4,2009-11-20,First Run,1619
Lost Angels: Skid Row Is My Home,12025,1,"$7,039",1,2012-12-07,Cinema Libre Studio,1620
Picture Me,12008,1,"$6,718",1,2010-09-17,Strand Releasing,1621
Minding the Gap,11998,5,"$6,812",4,2018-08-17,Magnolia Pictures,1622
The Last Race,11947,3,"$2,437",3,2018-11-16,Magnolia Pictures,1623
