Titles,Lifetime_Gross,Max_theaters,Opening_col,Opening_theaters,Release_date,Distributor,Rank
56 Up,701278,33,"$22,088",1,2013-01-04,First Run,276
Tabloid,696921,37,"$91,201",14,2011-07-15,IFC Films,277
Muscle Shoals,696241,56,"$13,901",1,2013-09-27,Magnolia Pictures,278
Red Army,694600,84,"$20,100",3,2015-01-23,Sony Pictures Classics,279
Raise Hell: The Life & Times of Molly Ivins,694410,42,"$94,504",18,2019-08-30,Magnolia Pictures,280
Inside Deep Throat,691880,27,"$88,709",12,2005-02-11,Universal Pictures,282
Wigstock: The Movie,686152,30,"$35,563",3,1995-06-09,The Samuel Goldwyn Company,284
The King of Kong: A Fistful of Quarters,677914,58,"$51,493",5,2007-08-17,Picturehouse,285
Kurt & Courtney,668228,12,"$16,835",1,1998-02-27,Roxie Releasing,286
Anvil,667911,27,"$34,651",3,2009-04-10,Abramorama,287
Jodorowsky's Dune,647280,61,"$36,018",3,2014-03-21,Sony Pictures Classics,288
The Life and Times of Allen Ginsberg,646951,4,"$1,475",1,2004-08-18,New Yorker Films,289
City of Gold,640979,50,"$62,959",4,2016-03-11,IFC Films,290
Dust to Glory,640013,80,"$15,757",2,2005-04-01,IFC Films,291
The Greatest Movie Ever Sold,638476,141,"$118,294",18,2011-04-22,Sony Pictures Classics,292
The Last Lions,635325,61,"$53,344",4,2011-02-18,National Geographic Entertainment,293
"Love, Gilda",626318,112,"$189,639",82,2018-09-21,Magnolia Pictures,296
Miles Davis: Birth of the Cool,614201,31,"$18,258",1,2019-08-23,Abramorama,297
Going Upriver,614138,163,"$279,219",163,2004-10-01,THINKFilm,298
Tickled,613956,53,"$21,898",2,2016-06-17,Magnolia Pictures,299
The Filth and the Fury,612192,29,"$13,305",1,2000-03-29,Fine Line Features,301
Gunner Palace,607844,56,"$63,520",8,2005-03-04,Palm Pictures,302
Itzhak,607290,35,"$14,350",2,2018-03-09,Greenwich Entertainment,303
Wild West Comedy Show: 30 Days & 30 Nights - Hollywood to the Heartland,603894,962,"$464,170",962,2008-02-08,Picturehouse,304
Road Scholar,597564,16,"$8,635",1,1993-07-16,The Samuel Goldwyn Company,305
Lo and Behold: Reveries of the Connected World,594912,51,"$114,273",39,2016-08-19,Magnolia Pictures,306
Tarnation,592014,22,"$12,740",1,2004-10-06,Wellspring Media,307
Bethany Hamilton: Unstoppable,590671,205,"$241,740",205,2019-07-12,Entertainment Studios Motion Pictures,308
Powaqqatsi,589244,22,"$27,899",1,1988-04-29,Cannon Film Distributors,309
Gleason,583664,148,"$91,583",9,2016-07-29,Open Road Films (II),311
Salinger,583633,138,"$86,956",4,2013-09-06,The Weinstein Company,312
Pick of the Litter,578717,60,"$16,519",2,2018-08-31,IFC Films,313
Tibet: Cry of the Snow Lion,578241,15,"$9,482",1,2003-09-19,Artistic License,314
La Danse: The Paris Opera Ballet,567493,25,"$14,000",1,2009-11-04,Zipporah Films,315
The Weather Underground,564632,14,"$13,984",1,2003-06-04,Shadow Distribution,316
Hands on a Hardbody: The Documentary,563482,6,"$7,607",1,1998-07-10,Providence Entertainment,317
Undefeated,562218,21,"$33,165",5,2012-02-17,The Weinstein Company,318
Harry & Snowman,561460,25,"$56,842",18,2016-09-30,FilmRise,319
Dolores,555309,33,"$13,534",1,2017-09-01,PBS Distribution,320
Fiddler: A Miracle of Miracles,549386,77,"$36,425",7,2019-08-23,Roadside Attractions,321
The Art of the Steal,544890,34,"$39,019",3,2010-02-26,IFC Films,322
On Any Sunday: The Next Chapter,543044,231,"$320,894",231,2014-11-07,Hannover House,323
Grateful Dead Meet-Up 2019,537153,503,"$3,786",4,2019-08-01,Trafalgar Releasing,324
Incident at Oglala,536848,12,"$19,070",3,1992-05-08,Miramax,325
Ai Weiwei: Never Sorry,534100,37,"$41,104",5,2012-07-27,IFC Films,326
Wild Man Blues,533759,25,"$54,458",3,1998-04-17,New Line Cinema,327
Human Flow,527845,36,"$45,677",3,2017-10-13,Magnolia Pictures,329
The First Monday in May,527474,45,"$99,242",20,2016-04-15,Magnolia Pictures,330
A Great Day in Harlem,527034,8,"$21,078",1,1995-02-17,Castle Hill Productions,331
Trouble the Water,520151,15,"$28,606",3,2008-08-22,Zeitgeist Films,332
The Spy Behind Home Plate,519525,31,"$10,250",1,2019-05-24,Ciesla Foundation,333
"Thelonious Monk: Straight, No Chaser",518918,11,"$31,842",2,1989-10-01,Warner Bros.,334
Scatter My Ashes at Bergdorf's,518342,38,"$39,630",4,2013-05-03,Entertainment One,335
The Black Panthers: Vanguard of the Revolution,516893,12,"$20,215",1,2015-09-02,PBS Distribution,336
The Trials of Henry Kissinger,516726,8,"$14,667",1,2002-09-25,First Run,337
Mr. Death,507941,28,"$24,125",3,1999-12-29,Lionsgate,339
Our President,507268,41,"$9,421",1,2017-06-02,CJ Entertainment,340
Deli Man,502294,38,"$37,321",15,2015-02-27,Cohen Media Group,341
Peggy Guggenheim: Art Addict,498428,25,"$22,258",2,2015-11-06,Submarine Deluxe,342
Steve Jobs: The Man in the Machine,494506,68,"$140,064",68,2015-09-04,Magnolia Pictures,343
The Act of Killing,486919,29,"$27,450",1,2013-07-19,Drafthouse Films,344
The Russian Five,485049,44,"$156,732",36,2019-03-21,Lucky Hat Entertainment,345
The Flat,471842,27,"$19,916",3,2012-10-19,IFC Films,346
Pearl Jam Twenty,471334,60,"$102,448",7,2011-09-20,Abramorama,347
CatVideoFest,470923,103,"$11,269",1,2019-02-15,Oscilloscope,348
Last Days in Vietnam,466114,25,"$30,500",2,2014-09-05,American Experience Films,350
Scotty and the Secret History of Hollywood,461689,34,"$28,144",1,2018-07-27,Greenwich Entertainment,351
Outfoxed: Rupert Murdoch's War on Journalism,461572,18,"$77,982",5,2004-08-06,Cinema Libre Studio,352
The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,453993,12,"$1,114",1,2010-01-29,First Run,353
"The Wonderful, Horrible Life of Leni Riefenstahl",449707,3,"$9,711",1,1994-03-18,Kino International,354
I Am Trying to Break Your Heart,445522,13,"$10,776",1,2002-07-26,Cowboy Pictures,355
The Heart of the Game,445374,21,"$11,251",3,2006-06-09,Miramax,356
When the Road Bends... Tales of a Gypsy Caravan,442936,16,$379,1,2007-01-19,Shadow Distribution,357
Gimme Danger,440627,71,"$44,725",3,2016-10-28,Magnolia Pictures,358
Sketches of Frank Gehry,439309,21,"$17,239",2,2006-05-12,Sony Pictures Classics,359
CatVideoFest 2020,437625,84,"$217,927",30,2020-02-21,Oscilloscope,360
I Want Your Money,433588,537,"$249,428",537,2010-10-15,Freestyle Releasing,362
The Singing Revolution,426855,5,"$2,475",1,2007-12-07,Abramorama,363
Hail Satan?,424284,67,"$26,496",3,2019-04-17,Magnolia Pictures,365
Sound City,422853,50,"$62,842",16,2013-02-01,Variance Films,366
She's Beautiful When She's Angry,421573,19,"$10,505",1,2014-12-05,International Film Circuit,367
The Last Days,421432,32,"$20,492",3,1999-02-05,October Films,369
Heart of a Dog,420813,22,"$13,893",1,2015-10-21,Abramorama,370
In the Realms of the Unreal,417120,13,"$15,477",3,2004-12-22,Wellspring Media,372
Project Nim,411184,22,"$25,820",4,2011-07-08,Roadside Attractions,373
Janis: Little Girl Blue,410465,26,"$21,861",2,2015-11-27,FilmRise,374
Unbranded,410185,80,"$141,416",80,2015-09-25,Gravitas Ventures,375
Chasing Trane: The John Coltrane Documentary,406284,17,"$16,626",1,2017-04-14,Abramorama,376
The Hunting Ground,405917,25,"$22,464",2,2015-02-27,RADiUS-TWC,377
Amandla!,405331,16,"$14,181",1,2003-02-19,Artisan Entertainment,378
The Gospel According to André,400713,36,"$47,802",4,2018-05-25,Magnolia Pictures,379
Leaning Into The Wind,400530,39,"$24,840",5,2018-03-09,Magnolia Pictures,380
Still We Believe: The Boston Red Sox Movie,396803,54,"$91,388",17,2004-05-07,THINKFilm,381
End of the Century,391950,10,"$18,422",1,2004-08-20,Magnolia Pictures,382
Detropia,390024,24,"$17,414",1,2012-09-07,Loki Films,383
Turtle: The Incredible Journey,386073,24,"$69,389",24,2011-06-24,Hannover House,384
Where in the World Is Osama Bin Laden?,384955,102,"$148,698",102,2008-04-18,The Weinstein Company,385
Dirty Wars,384473,31,"$63,504",4,2013-06-07,IFC Films,386
The Armstrong Lie,383294,77,"$28,992",5,2013-11-08,Sony Pictures Classics,387
Into the Arms of Strangers,382807,18,"$32,037",5,2000-09-15,Warner Bros.,388
Blind Spot. Hitler's Secretary,378382,12,"$9,216",1,2003-01-24,Sony Pictures Classics,392
